ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia20Test	historia20test	1590502867932	 	3.3.1
USER	PetWithDiagnosis	1	START	1590502868973	1590502868973
USER	PetWithDiagnosis	2	START	1590502869003	1590502869003
USER	PetWithDiagnosis	3	START	1590502869026	1590502869026
USER	PetWithoutDiagnosis	82	START	1590502868991	1590502868991
USER	PetWithoutDiagnosis	84	START	1590502869027	1590502869027
USER	PetWithoutDiagnosis	83	START	1590502868991	1590502868991
USER	PetWithDiagnosis	4	START	1590502869053	1590502869053
USER	PetWithoutDiagnosis	85	START	1590502869053	1590502869053
REQUEST	1		Home	1590502869024	1590502869055	OK	 
REQUEST	82		Home	1590502869024	1590502869055	OK	 
REQUEST	3		Home	1590502869027	1590502869055	OK	 
REQUEST	85		Home	1590502869054	1590502869063	OK	 
REQUEST	84		Home	1590502869030	1590502869055	OK	 
USER	PetWithDiagnosis	5	START	1590502869076	1590502869076
USER	PetWithoutDiagnosis	86	START	1590502869076	1590502869076
REQUEST	86		Home	1590502869078	1590502869092	OK	 
USER	PetWithDiagnosis	6	START	1590502869102	1590502869102
USER	PetWithoutDiagnosis	87	START	1590502869102	1590502869102
REQUEST	87		Home	1590502869103	1590502869111	OK	 
USER	PetWithDiagnosis	7	START	1590502869123	1590502869123
USER	PetWithoutDiagnosis	88	START	1590502869123	1590502869123
REQUEST	88		Home	1590502869124	1590502869136	OK	 
USER	PetWithDiagnosis	8	START	1590502869157	1590502869157
REQUEST	2		Home	1590502869024	1590502869158	OK	 
REQUEST	83		Home	1590502869024	1590502869158	OK	 
USER	PetWithoutDiagnosis	89	START	1590502869157	1590502869157
REQUEST	7		Home	1590502869124	1590502869161	OK	 
REQUEST	6		Home	1590502869103	1590502869163	OK	 
REQUEST	5		Home	1590502869078	1590502869163	OK	 
REQUEST	8		Home	1590502869157	1590502869166	OK	 
REQUEST	89		Home	1590502869159	1590502869169	OK	 
REQUEST	4		Home	1590502869054	1590502869169	OK	 
USER	PetWithDiagnosis	9	START	1590502869172	1590502869172
USER	PetWithoutDiagnosis	90	START	1590502869172	1590502869172
REQUEST	9		Home	1590502869173	1590502869176	OK	 
REQUEST	90		Home	1590502869173	1590502869179	OK	 
USER	PetWithDiagnosis	10	START	1590502869205	1590502869205
USER	PetWithoutDiagnosis	91	START	1590502869205	1590502869205
REQUEST	10		Home	1590502869205	1590502869208	OK	 
REQUEST	91		Home	1590502869205	1590502869210	OK	 
USER	PetWithDiagnosis	11	START	1590502869227	1590502869227
USER	PetWithoutDiagnosis	92	START	1590502869227	1590502869227
REQUEST	11		Home	1590502869227	1590502869230	OK	 
REQUEST	92		Home	1590502869227	1590502869231	OK	 
USER	PetWithDiagnosis	12	START	1590502869253	1590502869253
USER	PetWithoutDiagnosis	93	START	1590502869253	1590502869253
REQUEST	12		Home	1590502869253	1590502869256	OK	 
REQUEST	93		Home	1590502869253	1590502869258	OK	 
