ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia21Test	historia21test	1590516206730	 	3.3.1
USER	VetNotCreatedScn	79	START	1590516208910	1590516208910
REQUEST	79		Home	1590516208911	1590516208913	OK	 
USER	VetCreatedScn	28	START	1590516208931	1590516208931
REQUEST	28		Home	1590516208932	1590516208934	OK	 
USER	VetNotCreatedScn	80	START	1590516208951	1590516208951
REQUEST	80		Home	1590516208952	1590516208954	OK	 
USER	VetCreatedScn	29	START	1590516208973	1590516208973
REQUEST	29		Home	1590516208973	1590516208975	OK	 
USER	VetNotCreatedScn	81	START	1590516208994	1590516208994
REQUEST	81		Home	1590516208994	1590516208996	OK	 
USER	VetCreatedScn	30	START	1590516209014	1590516209014
REQUEST	30		Home	1590516209014	1590516209017	OK	 
USER	VetNotCreatedScn	82	START	1590516209035	1590516209035
REQUEST	82		Home	1590516209036	1590516209039	OK	 
USER	VetCreatedScn	31	START	1590516209050	1590516209050
REQUEST	31		Home	1590516209051	1590516209053	OK	 
USER	VetNotCreatedScn	83	START	1590516209072	1590516209072
REQUEST	83		Home	1590516209073	1590516209075	OK	 
USER	VetCreatedScn	32	START	1590516209093	1590516209093
REQUEST	32		Home	1590516209094	1590516209097	OK	 
USER	VetNotCreatedScn	84	START	1590516209114	1590516209114
REQUEST	84		Home	1590516209115	1590516209117	OK	 
USER	VetCreatedScn	33	START	1590516209130	1590516209130
REQUEST	33		Home	1590516209130	1590516209132	OK	 
USER	VetNotCreatedScn	85	START	1590516209151	1590516209151
REQUEST	85		Home	1590516209152	1590516209154	OK	 
USER	VetCreatedScn	34	START	1590516209172	1590516209172
REQUEST	34		Home	1590516209172	1590516209175	OK	 
USER	VetNotCreatedScn	86	START	1590516209194	1590516209194
REQUEST	86		Home	1590516209195	1590516209197	OK	 
USER	VetCreatedScn	35	START	1590516209216	1590516209216
REQUEST	35		Home	1590516209216	1590516209218	OK	 
USER	VetNotCreatedScn	87	START	1590516209230	1590516209230
REQUEST	87		Home	1590516209231	1590516209233	OK	 
USER	VetCreatedScn	36	START	1590516209252	1590516209252
