ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosAlpha	createreservationtwoscenariosalpha	1590352298462	 	3.3.1
REQUEST	49		request_0	1590352302131	1590352302836	OK	 
REQUEST	46		request_0	1590352301869	1590352302836	OK	 
REQUEST	38		request_0	1590352301152	1590352302837	OK	 
REQUEST	39		request_0	1590352301236	1590352302838	OK	 
REQUEST	62		request_0	1590352302326	1590352302839	OK	 
REQUEST	18		request_0	1590352301516	1590352302839	OK	 
REQUEST	54		request_0	1590352302585	1590352302840	OK	 
REQUEST	51		request_0	1590352302306	1590352302839	OK	 
REQUEST	24		request_0	1590352302082	1590352302841	OK	 
REQUEST	23		request_0	1590352301983	1590352302841	OK	 
REQUEST	65		request_0	1590352302616	1590352302843	OK	 
REQUEST	27		request_0	1590352300227	1590352302843	OK	 
REQUEST	12		request_0	1590352300987	1590352302844	OK	 
REQUEST	45		request_0	1590352301787	1590352302846	OK	 
REQUEST	60		request_0	1590352302146	1590352302848	OK	 
REQUEST	61		request_0	1590352302237	1590352302849	OK	 
REQUEST	55		request_0	1590352302679	1590352302849	OK	 
REQUEST	50		request_0	1590352302216	1590352302853	OK	 
REQUEST	67		request_0	1590352302789	1590352302853	OK	 
REQUEST	43		request_0	1590352301586	1590352302859	OK	 
REQUEST	56		request_0	1590352302771	1590352302861	OK	 
REQUEST	66		request_0	1590352302718	1590352302862	OK	 
USER	CreateBadReservation	68	START	1590352302876	1590352302876
USER	CreateGoodReservation	57	START	1590352302875	1590352302875
REQUEST	68		request_0	1590352302876	1590352302883	OK	 
REQUEST	57		request_0	1590352302876	1590352302883	OK	 
USER	CreateBadReservation	69	START	1590352302968	1590352302968
REQUEST	69		request_0	1590352302970	1590352302983	OK	 
USER	CreateGoodReservation	58	START	1590352302984	1590352302984
REQUEST	58		request_0	1590352302986	1590352303003	OK	 
USER	CreateBadReservation	70	START	1590352303058	1590352303058
REQUEST	70		request_0	1590352303060	1590352303074	OK	 
USER	CreateGoodReservation	59	START	1590352303075	1590352303075
REQUEST	59		request_0	1590352303076	1590352303092	OK	 
USER	CreateGoodReservation	71	START	1590352303143	1590352303143
USER	CreateBadReservation	83	START	1590352303143	1590352303143
REQUEST	71		request_0	1590352303145	1590352303157	OK	 
REQUEST	83		request_0	1590352303145	1590352303157	OK	 
USER	CreateGoodReservation	72	START	1590352303228	1590352303228
USER	CreateBadReservation	84	START	1590352303228	1590352303228
REQUEST	84		request_0	1590352303230	1590352303242	OK	 
REQUEST	72		request_0	1590352303230	1590352303244	OK	 
USER	CreateGoodReservation	73	START	1590352303305	1590352303305
USER	CreateBadReservation	85	START	1590352303305	1590352303305
REQUEST	85		request_0	1590352303307	1590352303321	OK	 
REQUEST	73		request_0	1590352303307	1590352303321	OK	 
USER	CreateGoodReservation	74	START	1590352303393	1590352303393
